#U fC  << this is the unit 
#             eta             phi             dep             det     cap0     cap1     cap2     cap3 widthcap0 widthcap1 widthcap2 widthcap3      DetId
               -1              14               7      CASTOR_HAD 12.16438 12.11161 12.22293 11.81430  8.64366  8.88350  8.77513  8.51012   560000D7
               -1              14               8      CASTOR_HAD 11.59111 11.41781 10.52765 11.04184  8.46878  8.63776  8.73527  8.48717   560000D8
               -1              14               9      CASTOR_HAD 10.57388 10.12832 10.99612 10.69865  7.64006  7.78225  7.76800  7.56187   560000D9
               -1              14              10      CASTOR_HAD 10.09393  9.25112  9.83562  9.14402  6.93919  6.99982  6.98452  6.96529   560000DA
               -1              14              11      CASTOR_HAD  9.38453 10.00764  9.67696  9.85131  7.06925  7.11285  6.99927  6.98686   560000DB
               -1              14              12      CASTOR_HAD 11.21757  8.88702 10.09321  9.92689  7.06519  7.17206  7.24814  7.16157   560000DC
               -1              14              13      CASTOR_HAD 11.23971 10.18100 11.01056 11.09232 19.24654 18.87373 18.66975 18.60314   560000DD
               -1              14              14      CASTOR_HAD  9.68052 10.03692 11.01322 10.94395  8.50572  8.41521  8.20654  8.21976   560000DE
               -1              15               1       CASTOR_EM 11.59916 10.91712 11.99980 12.13936  7.78665  7.79663  7.46407  7.47041   560000E1
               -1              15               2       CASTOR_EM 12.07576 11.07780 11.05011 11.78340 10.96599 10.96951 10.75566 10.72084   560000E2
               -1              15               3      CASTOR_HAD 11.44485 12.14440 11.67592 12.78781  9.87782  9.83202  9.57668  9.61717   560000E3
               -1              15               4      CASTOR_HAD 11.30010 11.18152 11.78449 10.92550  7.66629  7.54868  7.21881  7.34444   560000E4
               -1              15               5      CASTOR_HAD 10.10774 10.28092 10.29750 10.88630  6.90760  6.84924  6.83340  6.58279   560000E5
               -1              15               6      CASTOR_HAD 11.28275 10.90799 11.62985 10.52266  7.44804  7.38518  6.95357  7.20415   560000E6
               -1              15               7      CASTOR_HAD 12.50667 11.35431 12.21503 12.82262  8.27065  8.32851  7.98988  7.96274   560000E7
               -1              15               8      CASTOR_HAD  9.95748 10.36944 10.33395 10.74186  6.33317  6.24986  6.05956  5.94812   560000E8
               -1              15               9      CASTOR_HAD 10.33933 11.02840 10.36304 11.38607  6.91526  6.86879  6.73192  6.55205   560000E9
               -1              15              10      CASTOR_HAD  8.57926  9.09205  8.93812  8.99094 13.79384 13.84032 13.75506 13.70113   560000EA
               -1              15              11      CASTOR_HAD 10.52884 10.61654 11.09624 10.73411  7.79179  7.71991  7.41790  7.51455   560000EB
               -1              15              12      CASTOR_HAD 10.92868 10.94883 10.98418 11.20897  8.50342  8.38418  8.09415  8.10732   560000EC
               -1              15              13      CASTOR_HAD 11.81088 11.69097 12.68387 12.87357  8.60013  8.48845  8.21805  8.26178   560000ED
               -1              15              14      CASTOR_HAD 11.87542 11.50690 11.90558 11.77435  7.05118  7.03970  6.68292  6.66809   560000EE
               -1              16               1       CASTOR_EM  9.98436  9.69002 10.08451 10.08208  9.33704  9.33078  9.13216  9.25367   560000F1
               -1              16               2       CASTOR_EM 10.53045 10.01787 10.61689 11.10903  8.52189  8.44928  8.24636  8.14513   560000F2
               -1              16               3      CASTOR_HAD 11.08495 11.12428 11.15134 10.57481  7.38966  7.28417  7.03921  7.10956   560000F3
               -1              16               4      CASTOR_HAD  9.11638 10.42949 10.35285  9.70671  7.69262  7.72197  7.53082  7.62271   560000F4
               -1              16               5      CASTOR_HAD 11.40409 10.67644  9.73566 10.98326  7.27141  7.23418  7.14288  6.92094   560000F5
               -1              16               6      CASTOR_HAD 11.56943 12.32973 11.58187 12.89984 66.57695 64.55602 63.88834 66.87479   560000F6
               -1              16               7      CASTOR_HAD 13.52149 11.92685 12.95815 12.67367  6.74913  6.87984  6.62064  6.66302   560000F7
               -1              16               8      CASTOR_HAD 11.27378 11.72233 11.65082 11.96255  7.06420  6.94565  6.61198  6.60254   560000F8
               -1              16               9      CASTOR_HAD 10.53153 11.80631 10.21231 11.04632  6.77559  6.94162  6.60439  6.44848   560000F9
